location,max_pop,longitude,latitude
Yingchuan,1131896,113.4733,34.1511
Tegucigalpa,1126534,-87.2067,14.0942
Ciudad Nezahualcoyotl,1109363,-99.03,19.41
Tripoli,1126000,13.1875,32.8752
Rostov,1125299,39.7167,47.2333
Nezahualcoyotl,1110565,-98.9889,19.4
Bhiwandi,1125898,73.0667,19.3
Zhoushan,1121261,122.0988,30.0162
Tbilisi,1118035,44.7925,41.7225
Ufa,1115560,55.9667,54.7333
Fes,1112072,-5.0033,34.0433
Bien Hoa,1104000,106.8426,10.9575
Mexicali,1102342,-115.4678,32.6633
Gwalior,1101981,78.1931,26.215
Ankang,1100000,109.0235,32.6877
Ikare,1099931,5.76,7.5304
Hegang,1100000,130.2775,47.3139
Salt Lake City,1098526,-111.9306,40.7777
Bhilai,1097000,81.4333,21.2167
Yuyao,1095000,121.1546,30.0372
N'Djamena,1092066,15.05,12.11
Hanchuan,1092700,113.8274,30.652
Gongzhuling,1092692,124.8088,43.5036
Copenhagen,1085000,12.5635,55.6786
Irbid,1088100,35.85,32.5556
Haora,1077075,88.31,22.59
Cologne,1085664,6.9578,50.9422
Krasnoyarsk,1083865,92.8667,56.0167
Yicheng,1082929,119.8239,31.3697
Mizhou,1081960,119.4167,36
Nashville,1081903,-86.7843,36.1715
Yerevan,1075800,44.5144,40.1814
Ranchi,1073440,85.3347,23.3556
Nur-Sultan,1078362,71.4333,51.1333
Nouakchott,1077169,-15.9744,18.0783
Vereeniging,1074000,27.9319,-26.6736
Richmond,1075798,-77.4756,37.5295
Sao Luis,1073893,-44.3028,-2.53
San Pedro Sula,1073824,-88.0333,15.5
Taixing,1073921,120.0142,32.1724
Memphis,1066967,-89.9773,35.1046
Goyang,1061929,126.835,37.6564
Bezwada,1048240,80.6167,16.5167
Edmonton,1062643,-113.4903,53.5344
Xishan,1060000,113.4946,27.6609
Barquisimeto,1059092,-69.3467,10.0678
Sendai,1058070,140.8694,38.2683
Voronezh,1047549,39.2106,51.6717
Perm,1048005,56.2489,58.0139
Changwon,1046054,128.6811,35.2281
Zhongwei,1046000,105.1884,37.5139
Shouguang,1039205,118.7333,36.8833
Bogor,1030720,106.8,-6.6
Raleigh,1038738,-78.6435,35.8325
Cartagena,1036412,-75.5253,10.4236
Chandigarh,1026459,76.7911,30.7353
Bishkek,1027200,74.5667,42.8667
Amsterdam,1031000,4.9166,52.35
Matola,1032197,32.4667,-25.9667
Ogbomoso,1032000,4.25,8.1333
Ashgabat,1031992,58.3833,37.95
E'zhou,1031000,114.8842,30.3972
Maceio,1029129,-35.735,-9.6658
Niamey,1026848,2.1111,13.5086
Managua,1028808,-86.2667,12.15
Patam,1029808,104.0167,1.0678
Tekirdag,1029927,27.5167,40.9833
Linhai,1028813,121.1409,28.8523
Shubra al Khaymah,1025569,31.2422,30.1286
Monrovia,1021762,-10.8047,6.3106
Wafangdian,1024876,121.9972,39.6271
Zhongxiang,1022514,112.5853,31.169
